DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0
3,2,3,0,0,0,0,0,0,0
4,3,4,0,0,0,0,0,0,0
5,4,5,0,0,0,0,0,0,0
6,5,6,0,0,0,0,0,0,0
7,6,7,0,0,0,0,0,0,0
8,7,8,0,0,0,0,0,0,0
9,8,9,0,0,0,0,0,0,0
10,9,10,0,0,0,0,0,0,0
11,10,11,0,0,0,0,0,0,0
12,11,12,0,0,0,0,0,0,0
13,12,13,0,0,0,0,0,0,0
14,13,14,0,0,0,0,0,0,0
15,14,15,0,0,0,0,0,0,0
16,15,16,0,0,0,0,0,0,0
17,16,17,0,0,0,0,0,0,0
18,17,18,0,0,0,0,0,0,0
19,18,19,0,0,0,0,0,0,0
20,19,20,0,0,0,0,0,0,0
21,20,21,0,0,0,0,0,0,0
22,21,22,0,0,0,0,0,0,0
23,22,23,0,0,0,0,0,0,0
24,23,24,0,0,0,0,0,0,0
25,24,25,0,0,0,0,0,0,0
26,25,26,0,0,0,0,0,0,0
27,26,27,0,0,0,0,0,0,0
28,27,28,0,0,0,0,0,0,0
29,28,29,0,0,0,0,0,0,0
30,29,30,0,0,0,0,0,0,0
31,30,31,0,0,0,0,0,0,0
32,31,32,0,0,0,0,0,0,0
33,32,33,0,0,0,0,0,0,0
34,33,34,0,0,0,0,0,0,0
35,34,35,0,0,0,0,0,0,0
36,35,36,0,0,0,0,0,0,0
37,36,37,0,0,0,0,0,0,0
38,37,38,0,0,0,0,0,0,0
39,38,39,0,0,0,0,0,0,0
40,39,40,0,0,0,0,0,0,0
41,40,41,0,0,0,0,0,0,0
42,41,42,0,0,0,0,0,0,0
43,42,43,0,0,0,0,0,0,0
44,43,44,0,0,0,0,0,0,0
45,44,45,0,0,0,0,0,0,0
46,45,46,0,0,0,0,0,0,0
47,46,47,0,0,0,0,0,0,0
48,47,48,0,0,0,0,0,0,0
49,48,49,0,0,0,0,0,0,0
50,49,50,0,0,0,0,0,0,0
51,50,51,0,0,0,0,0,0,0
52,51,52,0,0,0,0,0,0,0
53,52,53,0,0,0,0,0,0,0
54,53,54,0,0,0,0,0,0,0
55,54,55,0,0,0,0,0,0,0
56,55,56,0,0,0,0,0,0,0
57,56,57,0,0,0,0,0,0,0
58,57,58,0,0,0,0,0,0,0
59,58,59,0,0,0,0,0,0,0
60,59,60,0,0,0,0,0,0,0
61,60,61,0,0,0,0,0,0,0
62,61,62,0,0,0,0,0,0,0
63,62,63,0,0,0,0,0,0,0
64,63,64,0,0,0,0,0,0,0
65,64,65,0,0,0,0,0,0,0
66,65,66,0,0,0,0,0,0,0
67,66,67,0,0,0,0,0,0,0
68,67,68,0,0,0,0,0,0,0
69,68,69,0,0,0,0,0,0,0
70,69,70,0,0,0,0,0,0,0
71,70,71,0,0,0,0,0,0,0
72,71,72,0,0,0,0,0,0,0
73,72,73,0,0,0,0,0,0,0
74,73,74,0,0,0,0,0,0,0
75,74,75,0,0,0,0,0,0,0
76,75,76,0,0,0,0,0,0,0
77,76,77,0,0,0,0,0,0,0
78,77,78,0,0,0,0,0,0,0
79,78,79,0,0,0,0,0,0,0
80,79,80,0,0,0,0,0,0,0
81,80,81,0,0,0,0,0,0,0
82,81,82,0,0,0,0,0,0,0
83,82,83,0,0,0,0,0,0,0
84,83,84,0,0,0,0,0,0,0
85,84,85,0,0,0,0,0,0,0
86,85,86,0,0,0,0,0,0,0
87,86,87,0,0,0,0,0,0,0
88,87,88,0,0,0,0,0,0,0
89,88,89,0,0,0,0,0,0,0
90,89,90,0,0,0,0,0,0,0
91,90,91,0,0,0,0,0,0,0
92,91,92,0,0,0,0,0,0,0
93,92,93,0,0,0,0,0,0,0
94,93,94,0,0,0,0,0,0,0
95,94,95,0,0,0,0,0,0,0
96,95,96,0,0,0,0,0,0,0
97,96,97,0,0,0,0,0,0,0
98,97,98,0,0,0,0,0,0,0
99,98,99,0,0,0,0,0,0,0
100,99,100,0,0,0,0,0,0,0
101,100,101,0,0,0,0,0,0,0
102,101,102,0,0,0,0,0,0,0
103,102,103,0,0,0,0,0,0,0
104,103,104,0,0,0,0,0,0,0
105,104,105,0,0,0,0,0,0,0
106,105,106,0,0,0,0,0,0,0
107,106,107,0,0,0,0,0,0,0
108,107,108,0,0,0,0,0,0,0
109,108,109,0,0,0,0,0,0,0
110,109,110,0,0,0,0,0,0,0
111,110,111,0,0,0,0,0,0,0
112,111,112,0,0,0,0,0,0,0
113,112,113,0,0,0,0,0,0,0
114,113,114,0,0,0,0,0,0,0
115,114,115,0,0,0,0,0,0,0
116,115,116,0,0,0,0,0,0,0
117,116,117,0,0,0,0,0,0,0
118,116.24,118,0,0,0,0,0,0,0
119,116.96,119,0,0,0,0,0,0,0
120,117.64,120,0,0,0,0,0,0,0
121,118.55,121,0,0,0,0,0,0,0
122,119.55,122,0,0,0,0,0,0,0
123,119.65,123,0,0,0,0,0,0,0
124,120.57,124,0,0,0,0,0,0,0
125,121.57,125,0,0,0,0,0,0,0
126,122.57,126,0,0,0,0,0,0,0
127,123.57,127,0,0,0,0,0,0,0
128,124.57,128,0,0,0,0,0,0,0
129,125.57,129,0,0,0,0,0,0,0
130,126.57,130,0,0,0,0,0,0,0
131,127.57,131,0,0,0,0,0,0,0
132,128.57,132,0,0,0,0,0,0,0
133,129.57,133,0,0,0,0,0,0,0
134,130.57,134,0,0,0,0,0,0,0
135,131.57,135,0,0,0,0,0,0,0
136,132.57,136,0,0,0,0,0,0,0
137,133.57,137,0,0,0,0,0,0,0
138,134.57,138,0,0,0,0,0,0,0
139,135.57,139,0,0,0,0,0,0,0
140,136.57,140,0,0,0,0,0,0,0
141,137.57,141,0,0,0,0,0,0,0
142,138.57,142,0,0,0,0,0,0,0
143,139.57,143,0,0,0,0,0,0,0
144,140.57,144,0,0,0,0,0,0,0
145,141.57,145,0,0,0,0,0,0,0
146,142.57,146,0,0,0,0,0,0,0
147,143.57,147,0,0,0,0,0,0,0
148,144.57,148,0,0,0,0,0,0,0
149,145.57,149,0,0,0,0,0,0,0
150,146.57,150,0,0,0,0,0,0,0
151,147.57,151,0,0,0,0,0,0,0
152,148.57,152,0,0,0,0,0,0,0
153,149.57,153,0,0,0,0,0,0,0
154,150.57,154,0,0,0,0,0,0,0
155,151.57,155,0,0,0,0,0,0,0
156,152.57,156,0,0,0,0,0,0,0
157,153.57,157,0,0,0,0,0,0,0
158,154.57,158,0,0,0,0,0,0,0
159,155.57,159,0,0,0,0,0,0,0
160,156.24,160,0,0,0,0,0,0,0
161,157.24,161,0,0,0,0,0,0,0
162,158.24,162,0,0,0,0,0,0,0
163,159.24,163,0,0,0,0,0,0,0
164,160.24,164,0,0,0,0,0,0,0
165,161.24,165,0,0,0,0,0,0,0
166,162.24,166,0,0,0,0,0,0,0
167,163.24,167,0,0,0,0,0,0,0
168,0,169,0,0,0,0,0,0,0
169,1.44,170,0,0,0,0,0,0,0
170,2.8,171,0,0,0,0,0,0,0
171,4,172,0,0,0,0,0,0,0
172,4.98,173,0,0,0,0,0,0,0
173,6.18,174,0,0,0,0,0,0,0
174,7.64,175,0,0,0,0,0,0,0
175,9.09,176,0,0,0,0,0,0,0
